"Im Demo Modus kann das letzte Zimmer nicht gel�scht werden","You can not remove the last room if the programm is in demo mode","Dans le mode 'D�monstration', la derni�re chambre ne peut pas �tre supprim�e","NULL","In demo modus kan de laaste kamer niet gewist worden"
"Der Testbenutzer kann im Demo-Modus nicht ver�ndert werden.","You can not change the test user in the demo mode.","L'utilisateur d'essai ne peut pas �tre modifi� dans le mode de d�monstration","NULL","De testgebruiker kan in demo modus niet aangepast worden."
"Es ist mindestens eine �bernachtung erforderlich","It is at least one overnight necessary","Au moins une nuit�e est n�cessairet","NULL","Minstens ��n overnachting is noodzakelijk"
"Klicken Sie hier um mehr Informationen zu erhalten!","Please klick here to get more information!","Cliquetez ici pour recevoir plus d'informations !","NULL","Klik hier voor meer informatie!","NULL"
"Bitte legen Sie als erstes ihre Zimmer/Appartements/etc. an, danach stehen Ihnen die weiteren Men�punkte zur Verf�gung","Please add at first your rooms. After that you will get more menu points","Veuillez enregistrer tout d�abord vos chambres/appartements/etc., ensuite les autres points de menu vous sont disponibles","","NULL","A.u.b. eerst een kamer/appartement toevoegen. Pas daarna zullen de andere menupunten zichtbaar worden.","NULL"
"Bitte geben Sie die Postleitzahl ein!","Please fill in the post code!","Veuillez compl�ter le code postal !","NULL","Postcode a.u.b. invullen!","NULL"
"Bitte geben Sie die E-Mail-Adresse ein!","Please fill in the eMail address!","Veuillez compl�ter l'adresse de courrier �lectronique!","NULL","E-Mailadres a.u.b. invullen!","NULL"
"Anfragen von G�sten als belegt best�tigen oder ablehnen","Confirm or delete booking requests","Demandes des h�tes confirmer d�j� occup� ou rejeter","NULL","Aanvragen van gasten als gereserveerd bevestigen of afwijzen","NULL"
"Neue Reservierungen eingeben, Reservierungen bearbeiten oder l�schen.","Add new reservations, change reservations or delete reservations","De nouvelles r�servations compl�ter, des r�servations modifier ou supprimer","NULL","Nieuwe reservering toevoegen, reserveringen aanpassen of wissen","NULL"
"Gespeicherte Daten der G�ste bearbeiten oder abfragen (z. B. E-Mail-Adressen ausgeben)","Change your guests or show informations about your guests","Les donn�es stock�es des h�tes modifier ou comparer (p. ex. adresse de courrier �lectronique","NULL","Gegevens van de gast aanpassen of weergeven (b.v. e-mailadrers weergeven)","NULL"
"Neue Benutzer anlegen, �ndern (z. B. Passwort) oder bestehende Benutzer l�schen","Add new user or change/remove users","Ajouter de nouveaux utilisateurs ou modifier (p. ex. Mot de passe) ou supprimer des utilisateurs existants","NULL","Nieuwe gebruiker toevoegen, reeds bestaande aanpassen (b.v. wachtwoord) of wissen","NULL"
"Diese Funktion ist nur f�r Administratoren verf�gbar","This function is only for administrators","Cette fonction n'est disponible que pour des administrateurs","NULL","Deze funktie staat alleen administrators ter beschikking","NULL"
"Neue Zimmer/Appartements/Wohnung/etc. anlegen, l�schen, oder bereits bestehende �ndern","Add new rooms, remove or change rooms","Ajouter de nouvelles chambres/appartements/logement/etc., supprimer ou modifier les m�mes","NULL","Nieuwe kamer/appartement toevoegen, reeds bestaande aanpassen of wissen","NULL"
"Daten Ihrer Unterkunft �ndern (z. B. E-Mail-Adresse)","Change the data of your accommodation (e.g. eMail address)","Modifier les donn�es de votre logement  (p. ex. Adresse de courrier �lectronique)","","NULL","Gegevens m.b.t. verblijf aanpassen (b.v. e-mailadres)","NULL"
"Das Design Ihres pers�nlichen Reservierungsplanes �ndern (z. B. Hintergrundfarbe)","Change the design of Rezervi (e.g. background colour)","Modifier la conception de votre plan de r�servation (p. ex. couleur d'arri�re-plan)","NULL","Het design van uw persoonlijke reserveringsoverzicht wijzigen (b.v. achtergrondkleur)","NULL"
"Die automatischen E-Mail-Antworten an ihre G�ste �ndern (z. B. Buchungsbest�tigung) oder E-Mails an Ihre G�ste senden","Change the automatical eMail notifications to your guests or send eMails to your guests","Modifier les r�ponses automatiques de courrier �lectronique � vos h�tes  (p. ex. une confirmation de r�servation) ou envoyer les r�ponses de courrier �lectronique � vos h�tes","NULL","Automatische e-mail antwoorden aan uw gast aanpassen (b.v. reserveringsbevestiging) of e-mails aan uw gasten versturen","NULL"
"Hiermit beenden Sie Ihre Sitzung","Log out from the Rezervi webinterface","En cliquant sur le bouton vous quitter l�interface web REZERVI","NULL","Afmelden van de Rezervi webinterface","NULL"
"�ndern der zur Auswahl stehenden Sprachen ihres Belegungsplanes","Change the languages of your availability overview","Changez les langues de votre plan de disponibilit�","NULL","Taalkeuzes voor het reserveringsoverzicht aanpassen","NULL"
"�ndern der Standard-Rahmengr��en des Belegungsplanes","Change the default frame size of your availability overview","Modifier le dimensions-cadres de votre plan de disponibilit�","NULL","Frame-groottes voor het reserveringsoverzicht aanpassen","NULL"
"Rahmen","frames","Cadre","NULL","frames","NULL"
"relativ","relative","relative","NULL","relatief"
"�ndern der Rahmengr��en","Change the frame sizes","Modifiez les tailles de cadres","NULL","Frame-grootte aanpassen"
"Belegungsplan links oder oben","Avalability overview left or top","Le plan de disponibilit� � gauche ou en haut ","NULL"
"Belegungsplan rechts oder unten","Avalability overview right or bottom","Le plan de disponibilit� � droite ou vers le bas","NULL"
"Webinterface links","Webinterface left","Interface web � gauche","NULL","Webinterface links"
"Webinterface rechts","Webinterface right","Interface web � droite","NULL","Webinterface rechts"
"Die Rahmengr��en wurden erfolgreich ge�ndert","The frame sizes were changed successful","la taille du cadre a �t� modifi�e avec succ�s","NULL","De frame-groottes zijn met succes aangepast"
"�ndern der Standard-Ansicht ihres Belegungsplanes","Change the default view of your availability overview","Modifiez l'avis standard de vorte plan de disponibilit�","","NULL","Standaard weergave voor het reserveringsoverzicht aanpassen","NULL"
"Sprachen","languages","Langues","NULL","Talen","NULL"
"Standard-Sprache","default language","La langue par d�faut","NULL","standaard taal","NULL"
"Ansicht","overview","Avis","NULL","Overzich","NULL"
"Markieren sie die Sprachen, die auf ihrer Website zur Auswahl angeboten werden sollen","Mark the languages that should be shown on your availability overview","Marquez les langues qui doivent �tre offertes sur votre site web, ","NULL","Selecteer de talen welke u in het reserveringsoverzicht wilt tonen","NULL"
"�ndern der angezeigten Sprachen","Change the available languages","Modifier les langues indiqu�es","NULL","Aanpassen welke talen getoont kunnen worden","NULL"
"Estnisch","Estonian","Estonien","NULL","Estoniaans","NULL"
"Die angezeigten Sprachen wurden erfolgreich ge�ndert!","The shown languages are changed successful!","Les langues indiqu�es ont �t� modifi�es avec succ�s !","NULL","De getoonde talen zijn met succes aangepast!","NULL"
"Sie m�ssen mindestens eine Sprache ausw�hlen!","You have to select at least one language!","Vous devez choisir au moins une langue !","NULL","Minstens ��n taal moet geselecteerd zijn!","NULL"
"Diverse Einstellungen von Rezervi �ndern","Change some settings of Rezervi","Modifiez diff�rents r�glages de Rezervi","NULL","Overige instellingen van Rezervi aanpassen","NULL"
"�ndern der Standard-Sprache","Change the default languages","Modifier la langue standard","NULL","Standaard taal aanpassen","NULL"
"Bitte w�hlen sie die Standard-Sprache ihres Belegungsplanes","Please select the default language of your availability overview","Choisissez la langue standard de votre  plan de disposition, s'il vous pla�t","","NULL","Standaard taal voor het reserveringsoverzicht selecteren","NULL"
"Bitte w�hlen sie die Standard-Sprache ihres Webinterfaces","Please select the default language of your webinterface","Choisissez la langue standard de votre interface web","NULL","Standaard taal voor de webinterface selecteren","NULL"
"Es werden hier nur Sprachen angeboten die unter dem Men�punkt 'Sprachen' ausgew�hlt wurden","Here you can find only these languages which you have selected in the menu 'languages'","En vous offre ici seulement les langues que vous avez choisi sous le point de menu 'Langues';","NULL","Alleen die talen worden getoont, welke in het menu 'Talen' zijn geselecteerd","NULL"
"Die Standard-Sprache wurde erfolgreich ge�ndert!","The default language is changed successful","La langue standard a �t� modifi�e avec succ�s !","NULL","De standaard taal is met succes aangepast","NULL"
"Zur ausgew�hlten Sprache wechseln","Change to your selected language","Changez votre langue choisie","NULL","Omschakelen naar de geselecteerde taal","NULL"
"Buchungsanfrage aus dem Rezervi Buchungssystem","Booking request from the Rezervi booking system","Demande de r�servation du syst�me de r�servation  Rezervi","NULL","Reserveringsaanvraag vanuit het Rezervi Reserveringssysteem","NULL"
"Die Anfrage wurde in estonischer Sprache gestellt","The booking request was done in Estonian","La question a �t� pos�e en langue estonienne","NULL","De aanvraag is in het estoniaans gemaakt","NULL"
"Zimmerart in italienisch","Type of the room in Italian","Type de chambre en italien","NULL","Kamertype in het italiaans","NULL"
"Zimmerart in spanisch","Type of the room in Spanish","Type de chambre en espagnol","NULL","Kamertype in het spaans","NULL"
"Zimmerart in estnisch","Type of the room in Estnia","Type de chambre en estonien","NULL","Kamertype in het estoniaans","NULL"
"Zimmerart in deutsch","Type of the room in German","Type de chambre en allemand","NULL","Kamertype in het duits","NULL"
"Zimmerart in englisch","Type of the room in English","Type de chambre en anglais","NULL","Kamertype in het engels","NULL"
"Zimmerart in franz�sisch","Type of the room in French","Type de chambre en fran�ais","NULL","Kamertype in het frans","NULL"
"Zimmernummer in deutsch (z. B. Typ A, Nr. 10, Balkonzimmer, etc.)","Room number in German (e.g. Type A, 10, room with balcony, etc.)","Num�ro de chambre en allemand (p. ex. Type A, No 10, chambre avec balcon, etc.)","NULL","Kamernummer in het duits (b.v. Type A, Nr. 10, kamer met balkon, etc.)","NULL"
"Zimmernummer in italienisch (z. B. Typ A, Nr. 10, Balkonzimmer, etc.)","Room number in Italian (e.g. Type A, 10, room with balcony, etc.)","Num�ro de chambre en italien (p. ex. Type A, No 10, chambre avec balcon, etc.)","NULL","Kamernummer in het italiaans (b.v. Type A, Nr. 10, kamer met balkon, etc.)","NULL"
"Zimmernummer in spanisch (z. B. Typ A, Nr. 10, Balkonzimmer, etc.)","Room number in Espania (e.g. Type A, 10, room with balcony, etc.)","Num�ro de chambre en espagnol (p. ex. Type A, No 10, chambre avec balcon, etc.)","NULL","Kamernummer in het spaans (b.v. Type A, Nr. 10, kamer met balkon, etc.)","NULL"
"Zimmernummer in estnisch (z. B. Typ A, Nr. 10, Balkonzimmer, etc.)","Room number in Estnia (e.g. Type A, 10, room with balcony, etc.)","Num�ro de chambre en estonien (p. ex. Type A, No 10, chambre avec balcon, etc.)","NULL","Kamernummer in het estoniaans (b.v. Type A, Nr. 10, kamer met balkon, etc.)","NULL"
"Bitte geben Sie die Zimmernummer ihrer Standardsprache ein!","Please fill in the room number in your default language!","Veuillez compl�ter le num�ro de chambre dans votre  langue standard,  s'il vous pla�t !","NULL","Kamernummer in uw standaard taal invullen","NULL"
"Bitte geben Sie die Zimmerart ein!","Please fill in the type of the room!","Veuillez compl�ter le type de chambre s'il vous pla�t !","NULL","Kamertype invullen","NULL"
"Installation Rezervi Belegungsplan und Kundendatenbank","Installation of Rezervi","Installation du plan de disponibilit� REZERVI et  base de donn�es clients","NULL","Installatie van Rezervi Reserveringsoverzicht en Gastendatenbank","NULL"
"Um die Installation erfolgreich durchf�hren zu k�nnen, m�ssen Sie eine Datenbank angelegt haben und die Zugangsdaten zu dieser Datenbank im File: conf/rdbmsConfig.php eingetragen haben","Please note that the file conf/rdbmsConfig.php must be setted correctly","Pour pouvoir mettre avec succ�s l'installation en oeuvre, vous devez avoir install� une base de donn�es et les donn�es d'acc�s sur cette base de donn�es dans le fichier : conf/rdbmsConfig.php","NULL","Om de installatie met succes door te voeren, moet er een datenbank aangemaakt zijn en de inloggegevens m.b.t. deze datenbank in het bestand: conf/rdbmsConfig.php opgenomen zijn","NULL"
"Bei Problemen mit der Installation von Rezervi k�nnen Sie den Belegungsplan auch mieten oder sich an UTILO wenden","If you have ploblems with the installation you can also rent Rezervi or send an eMail to UTILO","Si vous avez des probl�mes avec l'installation de Rezervi, vous pouvez aussi louer le plan de disponibilit� ou vous adresser un courriel � office@utilo.eu","","NULL","Wanneer u problemen heeft met de installatie van Rezervi kunt u het reserveringsoverzicht ook huuren, stuurd hiervoor een e-mail aan UTILO","NULL"
"installiere Teil 1","install part 1","Installez partie 1","NULL","Installatie - Deel 1","NULL"
"installiere Teil 2","install part 2","Installez partie 2","NULL","Installatie - Deel 2","NULL"
"installiere Teil 3","install part 3","Installez partie 3","NULL","Installatie - Deel 3","NULL"
"Wenn Sie alle Punkte erfolgreich ausgef�hrt haben, k�nnen Sie Ihren Plan verwenden","If all installation steps done correctly you can use Rezervi","Si vous avez parcouru toutes les �tapes avec succ�s, vous pouvez utilisez REZERVI","NULL","Wanneer alle punten met succes zijn uitgevoerd, kunt u Rezervi gaan gebruiken","NULL"
"Benutzen Sie daf�r folgende URLs","Please use following URLs","Utilisez pour cela les URLs suivants","NULL","Hiervoor kunt u de volgende URLs gebruiken","NULL"
"Die Startseite Ihres Belegungsplanes","The main site of the availability overview","Le lieu d'exploitation principal de la vue d'ensemble du plan de disponibilit�","NULL","De hoofdpagina voor het reserveringsoverzicht","NULL"
"http://ihre-domain/ihrInstallationsverzeichnis/","http://your-domain/yourInstallationFolder/","http://votre nom de domaine/votre fichier d'installation/","NULL","http://uw-domain/UwInstallatieDirectory/","NULL"
"Dieser Seite k�nnen Sie auch die gew�nschte Sprache �bergeben","You can add a language to this link","Vous pouvez aussi ajouter la langue souhait�e � ce lien","NULL","Met deze pagina kan ook de gewenste taal meegegeven worden","NULL"
"Sie k�nnen auch direkt die Suchfunktion aufrufen","You can directly go to the search function","Vous pouvez directement aller � la fonction de recherche","NULL","Direct naar de zoekpagina gaan","NULL"
"Auch dieser Seite kann die gew�nschte Sprache �bergeben werden","You can also add a language to this link","Vous pouvez �galement ajouter une langue � ce lien","NULL","Ook bij de volgende pagina's kan de taal meegegeven worden","NULL";;;;
"Den Zugang zur Webschnittstelle erhalten sie �ber","The access to the webinterface is with","L'acc�s � l�interface web est avec","NULL","Toegang tot de webinterface","NULL";;;;
"Nach erfolgreicher Installation sollten Sie den Ordner &quot;install&quot; auf Ihrem Webserver l�schen, ansonsten kann durch einen Angriff von aussen Ihre Datenbank ver�ndert werden","Please remove the folder &quot";install&quot;" from your webserver if the installation is successful. Otherwise someone from outside can destroy your installation","Apr�s installation r�ussie, vous devriez supprimer le fichier &quot;install&quot; sur votre serveur web ; autrement votre base de donn�es peut �tre modifi�e par une attaque de l'ext�rieur","NULL","Nadat de installatie met succes is uitgevoerd de directory &quot";install&quot;" op uw webserver wissen, anders kan het gebeuren dat van buitenaf uw datenbank aangepast wordt","NULL"
"Wir sind ihnen auch gerne bei Fragen zur Installation behilflich. Senden sie uns einfach ein E-Mail unter","If you have problems - we can help you with the installation. Please send an eMail to","Si vous avez des probl�mes, nous pouvons vous aider avec l'installation. Veuillez envoyer un courriel �","NULL","Wanneer u problemen heeft, kunnen wij u ook met de installatie helpen. Stuur hiervoor een e-mail aan","NULL";;;;
"Teil 1 abgeschlossen","Part 1 finished","Partie 1 est finie","NULL","Deel 1 - afgesloten","NULL";;;;
"Teil 2 abgeschlossen","Part 2 finished","Partie 2 est finie","NULL","Deel 2 - afgesloten","NULL";;;;
"Teil 3 abgeschlossen","Part 3 finished","Partie 3 est finie","NULL","Deel 3 - afgesloten","NULL";;;;
"So k�nnen sie Rezervi verlinken","So you can set links to Rezervi","Ainsi vous pouvez placer des liens � Rezervi","NULL","Zo kunt u Rezervi verlinken","NULL";;;;
"Verwenden sie als Benutzername und Passwort 'test' und �ndern sie das Passwort nach erstmaligem Einstieg.","Please use the username and password 'test' and change it after your first login.","Veuillez employer l'username et le mot de passe ' ; test' ; et changez-le apr�s votre premi�re ouverture de session","NULL","Als gebruikersnaam en wachtwoord kunt u 'test' invullen, het wachtwoord a.u.b. na de eerste aanmelding aanpassen!","NULL";;;;
"Name der Unterkunft in Italienisch","Name of the accommodation in Italian","Nom du logement en italien","NULL","Naam van het verblijf in het italiaans","NULL";;;;
"Name der Unterkunft in Spanisch","Name of the accommodation in Spain","Nom du logement en espagnol","NULL","Naam van het verblijf in het spaans","NULL";;;;
"Name der Unterkunft in Estnisch","Name of the accommodation in Estnia","Nom du logement en estonien","NULL","Naam van het verblijf in het estniaans","NULL";;;;
"Land auf Spanisch","State in Spain","Pays en espagnol ","NULL","Land in het spaans","NULL";;;;
"Land auf Estnisch","State in Estnia","Pays en estonien","NULL","Land in het estniaans","NULL";;;;
"Art der Unterkunft in Englisch (z. B. Hotel, Pension, ...)","Type of the accommodation in English (e.g. hotel, house, ...)","Type de logement en anglais (p. ex. H�tel, pension,�)","NULL","Type van verblijf in het Engels (b.v. hotel, pension, ...)","NULL";;;;
"Art der Unterkunft in Franz�sisch (z. B. Hotel, Pension, ...)","Type of the accommodation in French (e.g. hotel, house, ...)","Type de logement en fran�ais (p. ex. H�tel, pension,�)","NULL","Type van verblijf in het Frans (b.v. hotel, pension, ...)","NULL";;;;
"Art der Unterkunft in Deutsch (z. B. Hotel, Pension, ...)","Type of the accommodation in German (e.g. hotel, house, ...)","Type de logement en allemand (p. ex. H�tel, pension,�)","NULL","Type van verblijf in het Duits (b.v. hotel, pension, ...)","NULL";;;;
"Art der Unterkunft in Italienisch (z. B. Hotel, Pension, ...)","Type of the accommodation in Italian (e.g. hotel, house, ...)","Type de logement en italien (p. ex. H�tel, pension,�)","NULL","Type van verblijf in het Italiaans (b.v. hotel, pension, ...)","NULL";;;;
"Art der Unterkunft in Spanisch (z. B. Hotel, Pension, ...)","Type of the accommodation in Spain (e.g. hotel, house, ...)","Type de logement en espagnol (p. ex. H�tel, pension,�)","NULL","Type van verblijf in het Spaans (b.v. hotel, pension, ...)","NULL"
"Art der Unterkunft in Estnisch (z. B. Hotel, Pension, ...)","Type of the accommodation in Estnia (e.g. hotel, house, ...)","Type de logement en estonien (p. ex. H�tel, pension,�)","NULL","Type van verblijf in het Estoniaans (b.v. hotel, pension, ...)","NULL"
"(z. B. Ferienwohnung, Ferienhaus, Zimmer, Appartement)","(e.g. appartement, house, room)","(p. ex. Logement de vacances, maison de vacances, chambres, appartements)","NULL","(b.v. vakantiewoning, kamer appartement)","NULL"
"Bezeichnung der Zimmer in Deutsch","Name of the rooms in German","Nom des chambres en allemand","NULL","Omschrijving van de kamers in het Duits","NULL"
"Bezeichnung der Zimmer in Englisch","Name of the rooms in English","Nom des chambres en anglais","NULL","Omschrijving van de kamers in het Engels","NULL"
"Bezeichnung der Zimmer in Franz�sisch","Name of the rooms in French","Nom des chambres en francais","NULL","Omschrijving van de kamers in het Frans","NULL"
"Bezeichnung der Zimmer in Italienisch","Name of the rooms in Italian","Nom des chambres en italien","NULL","Omschrijving van de kamers in het Italiaans","NULL"
"Bezeichnung der Zimmer in Spanisch","Name of the rooms in Spain","Nom des chambres en espagnol","NULL","Omschrijving van de kamers in het Spaans","NULL"
"Bezeichnung der Zimmer in Estnisch","Name of the rooms in Estnia","Nom des chambres en estonien","NULL","Omschrijving van de kamers in het Estniaans","NULL"
"Bezeichnung der Zimmer in Deutsch - Mehrzahl","Name of the rooms in German - plural","Nom des chambres en allemand - pluriel","NULL","Omschrijving van de kamers in het Duits - meervoud","NULL"
"Bezeichnung der Zimmer in Englisch - Mehrzahl","Name of the rooms in English - plural","Nom des chambres en anglais - pluriel","NULL","Omschrijving van de kamers in het Engels - meervoud","NULL"
"Bezeichnung der Zimmer in Franz�sisch - Mehrzahl","Name of the rooms in French - plural","Nom des chambres en francais - pluriel","NULL","Omschrijving van de kamers in het Frans - meervoud","NULL"
"Bezeichnung der Zimmer in Italienisch - Mehrzahl","Name of the rooms in Italian - plural","Nom des chambres en italien - pluriel","NULL","Omschrijving van de kamers in het Italiaans - meervoud","NULL"
"Bezeichnung der Zimmer in Spanisch - Mehrzahl","Name of the rooms in Spain - plural","Nom des chambres en espagnol - pluriel","NULL","Omschrijving van de kamers in het Spaans - meervoud","NULL"
"Bezeichnung der Zimmer in Estnisch - Mehrzahl","Name of the rooms in Estnia - plural","Nom des chambres en estonien - pluriel","NULL","Omschrijving van de kamers in het Estniaans - meervoud","NULL"
"Es wurden nicht alle Felder korrekt ausgef�llt!","The fields are not correcty filled in!","Tous les zones de donn�es ne sont pas remplies correctement","NULL","Niet alle velden zijn correct ingevuld!","NULL"
"Texte in Italienisch","Texts in Italian","Textes en italien","NULL","Tekst in het Italiaans","NULL"
"Texte in Spanisch","Texts in Spain","Textes en espagnol","NULL","Tekst in het Spaans","NULL"
"Texte in Estnisch","Texts in Estnia","Textes en estonien","NULL","Tekst in het Estniaans","NULL"
"(z. B. Zimmer, Wohnung, Ferienwohnung, Appartement, etc.)","(e.g. room, appartement, ...)","(p. ex. chambre, logement, logement de vacances, appartement, etc.)","","NULL","(b.v. kamer, woning, vakantiewoning, appartement, enz.)","NULL"
"Reservierungsplan bearbeiten","availability overview","vue d'ensemble de disponibilit�","NULL","Reserveringsovrzicht bewerken","NULL"
"Anfragen bearbeiten","booking requests","Demandes de r�servation","NULL","Aanvragen bewerken","NULL"
"G�ste bearbeiten","guests","h�tes","NULL","Gasten bewerken","NULL"
"Benutzerdaten bearbeiten","users","donn�es utilisateurs","NULL","Gebruikersgegevens bewerken","NULL"
"Zimmer bearbeiten","rooms","Chambres","NULL","Kamer bewerken","NULL"
"Unterkunft bearbeiten","accommodation","Logement","NULL","Verblijf bewerken","NULL"
"Diverse Einstellungen","adjustements","Adjustements diff�rents","NULL","Diverse instellingen","NULL"
"Automatische e-Mails","automatical eMails","Courriels automatiques","NULL","Automatische e-mails","NULL"
"Abmelden","log out","d�connexion","NULL","Afmelden","NULL"
"einen weiteren anlegen","add another one","additionnez encore un(e) autre","NULL","een volgende toevoegen","NULL"
"Zimmer anlegen","add new room","Ajoutez une nouvelle chambre","NULL","Een nieuwe kamer/appartement toevoegen","NULL"
"Bitte geben Sie die Anzahl der Betten f�r Kinder und Erwachsene ein!","Please fill in the number of beds for children and adults!","Veuillez compl�ter le nombre de lits pour  enfants et  adultes !","NULL","A.u.b. het aantal van bedden voor volwassene en kinderen invullen!","NULL"
"einen Monat zur�ck","previous month","Mois pr�c�dent","NULL","vorige maand","NULL"
"einen Monat weiter","next month","mois prochain","NULL","volgende maand","NULL"
"Sprache","Language","Langue","NULL","Taal","NULL"
"Es liegen folgende Reservierungen f�r den Gast vor (aufsteigend sortiert)","Here are the reservations for this guest (it shows last reservation first)","Voici les r�servations de votre h�te (la derni�re au dessus)","NULL","Reserveringen van deze gast (oplopend gesorteerd)","NULL"
"Gast l�schen","delete guest","l'h�te supprimer","NULL","gast wissen","NULL"
"�ndern der Standard-Sprache des Belegungsplanes und Webinterfaces","Change the default language of your webinterface and availability overview","Modifier la langue standard du plan de disponibilit� et de l�interface web","NULL","Standaardtaal aanpassen voor het Reserveringsoverzicht en de Webinterface","NULL"
"estonisch","Estonian","Estonien","NULL","Estoniaans","NULL"
"�ndern","change","modifier","NULL","aanpassen","NULL"
"Wenn sie diese Felder leer lassen wird auch in dieser Sprache die Standardsprache verwendet.","If you don't fill in these fields for this language the default language will be used.","Si vous laiss� les zones de donn�es vide, pour cette langue sera utilis� la langue de d�faut","NULL","Wanneer u deze velden leeg laat, zal in deze taal ook de stadaard taal gebruikt worden.","NULL"
"Gast-Infos anzeigen","Guest informations","indications de l'h�te","NULL","Gasten informatie tonen","NULL"
"Anfrage l�schen","delete booking request","Supprimez la demande de r�servation","NULL","Reserveringsaanvraag afwijzen","NULL"
"Anfrage best�tigen","confirm booking request","confirmez la demande de r�servation","NULL","Reserveringsaanvraag bevestigen","NULL"
"Bitte geben Sie Ihre Nachricht ein!","Please fill in your message!","S'il vous pla�t �crivez votre message!","NULL","Vul a.u.b. uw bericht in!","NULL"
"G�ste-Daten abfragen und bearbeiten","Get and change guest data","Obtenez et changez les donn�es d'h�te","NULL","Gasten informatie opvragen en bewerken","NULL"
"Gast �ndern","change guest","changez l'h�te","NULL","Gast aanpassen","NULL"
"fett","bold","�criture bold","NULL","vet"
"fetter","bolder","tr�s gras","NULL","extra vet"
"standard","normal","Standard","NULL","normaal"
"kursiv","italic","italic","NULL","kursief"
"links","left","gauche","NULL","links"
"rechts","right","droit","NULL","rechts"
"zentriert","center","centr�","NULL","centreert"
"Blocksatz","justify","Style carr�","NULL","uitgevult"
"Wenn sie keinen Gast eingeben wird die Reservierung f�r einen anonymen Gast gespeichert","If you don't insert a guest the reservation will be stored with an anonymous guest","Si vous n�ajout� pas les dates de l'h�te, la r�servation est stock� pour un h�te anonyme","NULL","Wanneer geen gast wordt aangegeven, zal de reservering voor een anonieme gast opgeslagen worden"
"keinen Gast eingeben","insert no guest","N�enregistrez pas d'h�te","NULL","geen gast ingevuld"
"anonymer Gast","anonymous guest","h�te anonyme","NULL","anonieme gast"
"Bilder hochladen oder �ndern","Add or change pictures","Ajoutez ou changez des photos","NULL","Foto's uploaden of aanpassen"
"Bilder","pictures","Photos","NULL","Foto's"
"Einstellungen f�r Bilder der Zimmer","Picture settings for rooms","R�glages pour les photos de chambres","NULL","Instellingen voor foto's van de kamer"
"Bilder bei Suchergebnissen anzeigen","Show pictures at the result page of the search function","Montrez les images � la page de r�sultat de la fonction de recherche","NULL","Foto's bij zoekresultaten weergeven"
"Maximale H�he bei upload","Maximum width at upload time","Largeur maximum au temps de t�l�chargement","NULL","Maximale hoogte bij upload"
"Maximale Breite bei upload","Maximum height at upload time","Hauteur maximum au temps de t�l�chargement","NULL","Maximale breedte bij upload"
"Die Einstellungen wurden erfolgreich ge�ndert","The settings were changed successful","Les r�glages ont �t� modifi�s avec succ�s","NULL","De instellingen zijn met succes aangepast"
"Bilder f�r Zimmer/Appartement/Wohnung/etc. hochladen","Upload pictures for rooms","T�l�chargez les photos pour chambres/appartement/logement","NULL","Foto's voor kamers/appartementen/enz. Uploaden"
"Bild","Picture","Photo","NULL","Foto"
"Beschreibung","Description","Description","NULL","Omschrijving"
"Das Upload Verzeichnis konnte nicht erstellt werden","Creating the upload directory was not successful","Le fichier pour le t�l�chargement ne pouvait pas �tre fourni","NULL","Upload directory kon niet aangemaakt worden"
"Das Bild wurde erfolgreich hochgeladen","The upload of the picture was successful","La photo est t�l�charg� avec succ�s","NULL","De foto is met succes geuploaded"
"Bitte w�hlen sie ein Zimmer!","Select a room please!","Choisissez une chambre s'il vous pla�t","","NULL","Selecteer a.u.b. een kamer!"
"Bitte w�hlen sie ein Bild!","Choose a picture please!","Choisissez une photo s'il vous pla�t","","NULL","Selecteer a.u.b. een foto!"
"Das Bild wurde erfolgreich hochgeladen.","File upload succussful!","La photo est t�l�charg� avec succ�s","NULL","De foto is met succes geuploaded"
"Das Bild konnte nicht hochgeladen werden!","Possible file upload attack!","La photo ne pouvait pas etre t�l�charg�","NULL","De foto kon niet geupload worden"
"URL zu weiteren Informationen (z. B. http://www.rezervi.com/index.php)","URL for more informations (e.g.: http://www.rezervi.com/index.php)","URL � d'autres informations (p. ex. http://www.rezervi.com/index.php)","","NULL","URL voor meer informatie (b.v.: http://www.rezervi.com/index.php)"
"Haustiere erlaubt","Pets permitted","Animaux domestiques permis","NULL","Huisdieren toegestaan"
"Haustiere","Pets","Animaux domestiques","NULL","Huisdieren"
"Samstag frei","Saturday available","Samedi libre","NULL","Zaterdag vrij"
"Samstag reserviert","Saturday reserved","Samedi r�serve","NULL","Zaterdag gereserveerd"
"Samstag belegt","Saturday occupied","Samedi occup�","NULL","Zaterdag gereserveerd"
"�ndern der Farbe der Samstag belegt-Anzeige","Change the colour of the occupied marks","Changez la couleur des marques samedi occup�s","NULL","Kleur aanpassen voor de weergave Zaterdag gereserverd"
"�ndern der Farbe der Samstag frei-Anzeige","Change the colour of the non occupied Saturdays","Changez la couleur des marques samedi libre","NULL","Kleur aanpassen voor de weergave Zaterdag vrij"
"�ndern der Farbe der Samstag reserviert-Anzeige","Change the colour of the reserved Saturdays","Changez la couleur des marques samedi r�serv�"","
"Link","Link","Lien","NULL","Link"
"Bilder f�r Zimmer/Appartement/Wohnung/etc. l�schen","Delete uploaded pictures for rooms","Supprim�z les photos t�l�charg�es pour chambres/appartments/logements","NULL","Foto's voor kamers/appartementen/enz. Wissen"
